iter,temperature,objective,area,violation,feasible,best_area
1702,16.563468093003973,519.2853023285946,519.2853023285946,0.0,True,498.43315841645847
1703,16.530341156817965,519.2853023285946,519.2853023285946,0.0,True,498.43315841645847
1704,16.49728047450433,519.2853023285946,519.2853023285946,0.0,True,498.43315841645847
1705,16.46428591355532,519.2853023285946,519.2853023285946,0.0,True,498.43315841645847
1706,16.43135734172821,519.2853023285946,519.2853023285946,0.0,True,498.43315841645847
1707,16.39849462704475,520.2449391593677,520.2449391593677,0.0,True,498.43315841645847
1708,16.365697637790664,523.7286611336893,522.6332564838909,1.095404649798408e-05,False,498.43315841645847
1709,16.33296624251508,523.7286611336893,522.6332564838909,1.095404649798408e-05,False,498.43315841645847
1710,16.30030031003005,523.7286611336893,522.6332564838909,1.095404649798408e-05,False,498.43315841645847
1711,16.26769970940999,523.7286611336893,522.6332564838909,1.095404649798408e-05,False,498.43315841645847
1712,16.23516430999117,519.6495329922375,519.6495329922375,0.0,True,498.43315841645847
1713,16.202693981371187,519.6495329922375,519.6495329922375,0.0,True,498.43315841645847
1714,16.170288593408443,531.6723883064014,531.6723883064014,0.0,True,498.43315841645847
1715,16.137948016221628,520.7553188957605,520.7553188957605,0.0,True,498.43315841645847
1716,16.105672120189183,520.7553188957605,520.7553188957605,0.0,True,498.43315841645847
1717,16.073460775948806,520.7553188957605,520.7553188957605,0.0,True,498.43315841645847
1718,16.041313854396908,520.7553188957605,520.7553188957605,0.0,True,498.43315841645847
1719,16.009231226688115,520.7553188957605,520.7553188957605,0.0,True,498.43315841645847
1720,15.97721276423474,578.3841241375425,578.3841241375425,0.0,True,498.43315841645847
1721,15.94525833870627,613.603440727757,559.4596909484832,0.0005414374977927372,False,498.43315841645847
1722,15.913367822028857,613.603440727757,559.4596909484832,0.0005414374977927372,False,498.43315841645847
1723,15.881541086384798,580.2812499138373,580.2812499138373,0.0,True,498.43315841645847
1724,15.849778004212029,580.2812499138373,580.2812499138373,0.0,True,498.43315841645847
1725,15.818078448203604,580.2812499138373,580.2812499138373,0.0,True,498.43315841645847
1726,15.786442291307196,580.2812499138373,580.2812499138373,0.0,True,498.43315841645847
1727,15.754869406724582,580.2812499138373,580.2812499138373,0.0,True,498.43315841645847
1728,15.723359667911133,538.6753568406446,538.6753568406446,0.0,True,498.43315841645847
1729,15.691912948575311,538.6753568406446,538.6753568406446,0.0,True,498.43315841645847
1730,15.66052912267816,538.6753568406446,538.6753568406446,0.0,True,498.43315841645847
1731,15.629208064432802,538.6753568406446,538.6753568406446,0.0,True,498.43315841645847
